Merged dataset build complete
Total classes: 72
Universal split ratio: 0.70/0.15/0.15
Train augmentation target annotations per class: 2426

[train]
lassi: before_images=69, after_images=69, before_annotations=99, after_annotations=99
lemon_rice: before_images=45, after_images=45, before_annotations=55, after_annotations=55
medu_vada: before_images=83, after_images=83, before_annotations=98, after_annotations=98
modak: before_images=26, after_images=26, before_annotations=101, after_annotations=101
mushroom_biryani: before_images=45, after_images=45, before_annotations=48, after_annotations=48
mutton_biryani: before_images=45, after_images=45, before_annotations=45, after_annotations=45
mutton_curry: before_images=75, after_images=75, before_annotations=75, after_annotations=75
nandu_masala: before_images=45, after_images=45, before_annotations=47, after_annotations=47
nei_satham: before_images=45, after_images=45, before_annotations=45, after_annotations=45
omelette: before_images=46, after_images=46, before_annotations=49, after_annotations=49
onion_pakoda: before_images=72, after_images=72, before_annotations=76, after_annotations=76
paal_kolukattai: before_images=45, after_images=45, before_annotations=52, after_annotations=52
palak_paneer: before_images=214, after_images=214, before_annotations=216, after_annotations=216
paneer_biryani: before_images=45, after_images=45, before_annotations=46, after_annotations=46
paratha: before_images=28, after_images=28, before_annotations=31, after_annotations=31
parupu_vadai: before_images=45, after_images=45, before_annotations=62, after_annotations=62
pidi_kolukattai: before_images=45, after_images=45, before_annotations=50, after_annotations=50
poha: before_images=225, after_images=225, before_annotations=244, after_annotations=244
poorna_kolukattai: before_images=45, after_images=45, before_annotations=57, after_annotations=57
prawn_thokku: before_images=45, after_images=45, before_annotations=46, after_annotations=46
puri: before_images=82, after_images=82, before_annotations=91, after_annotations=91
raita: before_images=52, after_images=52, before_annotations=57, after_annotations=57
rajma_curry: before_images=216, after_images=216, before_annotations=219, after_annotations=219
ras_malai: before_images=69, after_images=69, before_annotations=75, after_annotations=75
rice: before_images=381, after_images=381, before_annotations=424, after_annotations=424
roti: before_images=172, after_images=172, before_annotations=214, after_annotations=214
saag: before_images=113, after_images=113, before_annotations=115, after_annotations=115
salad: before_images=34, after_images=34, before_annotations=43, after_annotations=43
sambar: before_images=102, after_images=102, before_annotations=110, after_annotations=110
sambar_satham: before_images=45, after_images=45, before_annotations=45, after_annotations=45
samosa: before_images=77, after_images=77, before_annotations=342, after_annotations=342
shahi_paneer: before_images=189, after_images=189, before_annotations=191, after_annotations=191
thepla: before_images=38, after_images=38, before_annotations=43, after_annotations=43
upma: before_images=31, after_images=31, before_annotations=32, after_annotations=32
veg_briyani: before_images=45, after_images=45, before_annotations=46, after_annotations=46
veg_pulao: before_images=37, after_images=37, before_annotations=42, after_annotations=42
ven_pongal: before_images=45, after_images=45, before_annotations=47, after_annotations=47

